date,pageviews,clicks,enrollments,payments,treatment
"Sat, Oct 11",7723,687,134,70,control
"Sun, Oct 12",9102,779,147,70,control
"Mon, Oct 13",10511,909,167,95,control
"Tue, Oct 14",9871,836,156,105,control
"Wed, Oct 15",10014,837,163,64,control
"Thu, Oct 16",9670,823,138,82,control
"Fri, Oct 17",9008,748,146,76,control
"Sat, Oct 18",7434,632,110,70,control
"Sun, Oct 19",8459,691,131,60,control
"Mon, Oct 20",10667,861,165,97,control
"Tue, Oct 21",10660,867,196,105,control
"Wed, Oct 22",9947,838,162,92,control
"Thu, Oct 23",8324,665,127,56,control
"Fri, Oct 24",9434,673,220,122,control
"Sat, Oct 25",8687,691,176,128,control
"Sun, Oct 26",8896,708,161,104,control
"Mon, Oct 27",9535,759,233,124,control
"Tue, Oct 28",9363,736,154,91,control
"Wed, Oct 29",9327,739,196,86,control
"Thu, Oct 30",9345,734,167,75,control
"Fri, Oct 31",8890,706,174,101,control
"Sat, Nov 1",8460,681,156,93,control
"Sun, Nov 2",8836,693,206,67,control
"Mon, Nov 3",9437,788,NA,NA,control
"Tue, Nov 4",9420,781,NA,NA,control
"Wed, Nov 5",9570,805,NA,NA,control
"Thu, Nov 6",9921,830,NA,NA,control
"Fri, Nov 7",9424,781,NA,NA,control
"Sat, Nov 8",9010,756,NA,NA,control
"Sun, Nov 9",9656,825,NA,NA,control
"Mon, Nov 10",10419,874,NA,NA,control
"Tue, Nov 11",9880,830,NA,NA,control
"Wed, Nov 12",10134,801,NA,NA,control
"Thu, Nov 13",9717,814,NA,NA,control
"Fri, Nov 14",9192,735,NA,NA,control
"Sat, Nov 15",8630,743,NA,NA,control
"Sun, Nov 16",8970,722,NA,NA,control
"Sat, Oct 11",7716,686,105,34,treatment
"Sun, Oct 12",9288,785,116,91,treatment
"Mon, Oct 13",10480,884,145,79,treatment
"Tue, Oct 14",9867,827,138,92,treatment
"Wed, Oct 15",9793,832,140,94,treatment
"Thu, Oct 16",9500,788,129,61,treatment
"Fri, Oct 17",9088,780,127,44,treatment
"Sat, Oct 18",7664,652,94,62,treatment
"Sun, Oct 19",8434,697,120,77,treatment
"Mon, Oct 20",10496,860,153,98,treatment
"Tue, Oct 21",10551,864,143,71,treatment
"Wed, Oct 22",9737,801,128,70,treatment
"Thu, Oct 23",8176,642,122,68,treatment
"Fri, Oct 24",9402,697,194,94,treatment
"Sat, Oct 25",8669,669,127,81,treatment
"Sun, Oct 26",8881,693,153,101,treatment
"Mon, Oct 27",9655,771,213,119,treatment
"Tue, Oct 28",9396,736,162,120,treatment
"Wed, Oct 29",9262,727,201,96,treatment
"Thu, Oct 30",9308,728,207,67,treatment
"Fri, Oct 31",8715,722,182,123,treatment
"Sat, Nov 1",8448,695,142,100,treatment
"Sun, Nov 2",8836,724,182,103,treatment
"Mon, Nov 3",9359,789,NA,NA,treatment
"Tue, Nov 4",9427,743,NA,NA,treatment
"Wed, Nov 5",9633,808,NA,NA,treatment
"Thu, Nov 6",9842,831,NA,NA,treatment
"Fri, Nov 7",9272,767,NA,NA,treatment
"Sat, Nov 8",8969,760,NA,NA,treatment
"Sun, Nov 9",9697,850,NA,NA,treatment
"Mon, Nov 10",10445,851,NA,NA,treatment
"Tue, Nov 11",9931,831,NA,NA,treatment
"Wed, Nov 12",10042,802,NA,NA,treatment
"Thu, Nov 13",9721,829,NA,NA,treatment
"Fri, Nov 14",9304,770,NA,NA,treatment
"Sat, Nov 15",8668,724,NA,NA,treatment
"Sun, Nov 16",8988,710,NA,NA,treatment
